"City","City_latitude","City_longitude","State","Airport","Airport_latitude","Airport_longitude","iata_code"
"Giddalur","15.3764","78.9251","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Allagadda","15.1322","78.5138","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Madakalavaripalli","14.7475","79.0843","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Tiruvur","17.1","80.6","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Narsipatnam","17.665","82.614","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Darsi","15.7667","79.6833","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kondapalle","16.6183","80.5411","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Elesvaram","17.2833","82.1","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Erraguntla","14.6333","78.5333","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kalyandrug","14.55","77.1","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kovur","14.5001","79.9859","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Akividu","16.5823","81.3811","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Podili","15.604","79.608","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Tummapala","17.7166","82.9965","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Tekkali","18.6057","84.2355","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Pedana","16.2667","81.1667","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Chimakurti","15.5149","80.0368","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kaluvaya","14.5","79.4167","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Sarpavaram","17.0102","82.225","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Ibrahimpatnam","16.583","80.5143","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Atmakur","14.6167","79.6167","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Pattikonda","15.4","77.5167","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Nalakadoddi","15.4","77.5167","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Ramanayyapeta","17.3203","82.1014","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Srungavarapukota","18.1167","83.1667","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Tanguturu","15.35","80.05","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Suluru","13.7","80.018","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Penukonda","14.085","77.596","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Parimpudi","17.1171","81.4342","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Payakaraopeta","17.3627","82.5572","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Pamidi","14.95","77.5833","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Mamidalapadu","15.831","78.05","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
