"City","City_latitude","City_longitude","State","Airport","Airport _latitude","Airport _longitude","iata_code","Distance"
"Putaparti","14.166","77.811","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","110.4487639"
"Peddapalle","14.4046","78.9456","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","21.99140133"
"Damalcheruvu","13.4833","79.05","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","118.0168405"
"Paniem","15.5167","78.35","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","120.7982407"
"Kottacheruvu","14.1886","77.7658","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","114.2129804"
"Nagireddipalli","14.2701","79.1013","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","44.31245588"
"Pakala","15.2694","80.072","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","163.1641157"
"Alur","15.3942","77.2264","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","193.0393228"
"Muttukuru","14.2667","80.1","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","145.4882288"
"Anantarazupeta","14.0014","79.3319","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","82.6388579"
"Uttukkottai","13.3354","79.898","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","178.3440524"
"Polukallu","15.8284","77.7431","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","183.5817222"
"Iskapalli","14.7363","80.0981","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","144.7981081"
"Kodigenahalli","13.8608","77.4792","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","157.0288722"
"Palkur","15.4144","78.2507","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","115.1461774"
"Bodagudipadu","14.7385","79.8602","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","119.7251106"
"Tummalapenta","15.0278","78.0234","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","99.03148683"
"Vempalle","13.5382","78.4604","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","113.1920405"
"Gudikallu","15.7441","77.476","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","195.4641946"
"Mangalapur","13.6245","79.5803","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","131.4575798"
"Rajupalem","15.1385","79.996","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","148.9061872"
"Kalikiri","13.6333","78.8","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","97.52879078"
"Atmakuru","14.6452","77.3554","Andhra Pradesh","Kadapa Airport","14.51","78.77278","CDP","153.2705505"
