City,City_latitude,City_longitude,State,Airport ,Airport _latitude,Airport _longitude,iata_code,Distance
Ankireddikuntapalem,15.9154,80.2108,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,219.6075767
Bukkarayasamudram,14.6944,77.6381,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,123.8048455
Kuppam,12.75,78.37,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,200.4844393
Mailavaram,16.7833,80.6333,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,321.8338117
Vendram,16.562,81.4696,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,368.1342803
Chagallu,16.9833,81.6667,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,414.1705095
Pakala,13.4667,79.1167,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,121.799866
Madakasira,13.9369,77.2694,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,174.1228774
Ganapavaram,16.1233,80.1721,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,233.8810114
Pendurti,17.8278,83.2022,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,599.8252799
Maruturu,15.9862,80.1041,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,217.5805809
Pamarru,16.327,80.961,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,309.5702654
Kaikalur,16.5509,81.2,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,345.1262453
Chagalamarri,14.9667,78.5833,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,54.71803355
Nizampatam,15.9,80.6667,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,255.3146989
Palkonda,18.6,83.75,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,698.6384368
Banganapalle,15.3167,78.2333,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,106.8004889
Gannavaram,16.5333,80.8,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,312.7040293
Achampet,16.6299,80.1213,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,276.4535409
Vinjamur,14.833,79.583,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,94.26495215
Kamalapuram,14.5833,78.65,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,15.52625516
Nellimarla,18.1667,83.4333,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,642.2760215
Nadikude,16.5941,79.7167,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,252.8381839
Chandragiri,13.5833,79.3167,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,118.5770909
Gopavaram,14.7853,78.5728,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,37.41584553
Chodavaram,17.8333,82.95,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,579.2149277
Erragondapalem,16.0397,79.3043,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,179.395304
Marjampad,16.592,79.908,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,261.5009594
Kothanuru,16.0022,81.0417,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,294.5687619
Karlapalem,15.9333,80.55,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,247.8016392
Ellamanda,16.1847,80.0546,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,231.4470466
Kanekallu,14.8864,77.0317,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,191.8832149
Namburu,16.36,80.52,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,278.1812052
Akanavaritota,16.4141,81.6367,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,372.854594
Yandrapalle,16.0472,79.3073,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,180.2879679
Peruru,14.3503,77.3497,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,154.2722988
Chinna Ganjam,15.7,80.25,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,206.5353509
Narapala,14.7206,77.8106,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,106.1428712
Varidhanam,16.5576,81.8303,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,398.899072
Somandepalle,14.0078,77.6086,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,137.328505
Gatada,18.4144,83.5041,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,665.5093528
Jaggampeta,17.1833,82.05,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,459.5921224
Kottakota,17.7513,82.7004,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,553.0348226
Sompeta,18.93,84.6,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,791.4432086
Tadikonda,16.4167,80.4542,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,278.2405193
Sirvel,15.321,78.5344,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,93.74597471
Asakapalle,17.7364,83.3,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,602.0745761
Tummalapenta,14.8997,80.0687,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,145.9600616
Kottapalle,17.2918,81.8939,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,455.0335699
Kotta Kalidindi,16.5032,81.2877,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,348.8899424
Lakshmaneswaram,16.4082,81.6867,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,376.9132742
Veldurti,15.5667,77.9167,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,149.1888162
Vissannapeta,16.9398,80.7828,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,345.360589
Pulla,16.806,81.3241,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,373.8800398
Inkollu,15.83,80.2,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,212.139409
Vayalpad,13.65,78.6333,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,96.80365333
Gunjapalle,14.3845,77.9495,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,89.74129806
Yerrapalem,16.15,80.03,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,226.7830716
Padugupadu,14.4885,79.9923,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,131.3071691
Tadigadapa,16.4713,80.697,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,300.1185349
Gudipallipadu,14.4588,80.0482,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,137.4303777
Challapalle,16.1167,80.9333,Andhra Pradesh,Kadapa Airport,14.51,78.77278,CDP,292.5795217
