City ,State,latitude,longitude,Airport_Name,lat,lng,iata_code
Jiyyammavalasa,Andhra Pradesh,18.8186,83.5797,Kadapa Airport,14.51,78.772778,CDP
Zangareddigudem,Andhra Pradesh,17.1229,81.2953,Kadapa Airport,14.51,78.772778,CDP
Repalle,Andhra Pradesh,16.0172,80.8294,Kadapa Airport,14.51,78.772778,CDP
Sulleru,Andhra Pradesh,18.5333,83.2167,Kadapa Airport,14.51,78.772778,CDP
Peddapuram,Andhra Pradesh,17.08,82.13,Kadapa Airport,14.51,78.772778,CDP
Prattipadu,Andhra Pradesh,16.1878,80.3392,Kadapa Airport,14.51,78.772778,CDP
Jaggisettigudem,Andhra Pradesh,17.1167,81.3,Kadapa Airport,14.51,78.772778,CDP
Guntakal Junction,Andhra Pradesh,15.1711,77.3624,Kadapa Airport,14.51,78.772778,CDP
Gooty,Andhra Pradesh,15.121,77.634,Kadapa Airport,14.51,78.772778,CDP
Nandikotkur,Andhra Pradesh,15.867,78.267,Kadapa Airport,14.51,78.772778,CDP
Vuyyuru,Andhra Pradesh,16.3667,80.85,Kadapa Airport,14.51,78.772778,CDP
Jammalamadugu,Andhra Pradesh,14.85,78.38,Kadapa Airport,14.51,78.772778,CDP
Gollalagunta,Andhra Pradesh,17.1672,82.2847,Kadapa Airport,14.51,78.772778,CDP
Nayudupet,Andhra Pradesh,13.9,79.9,Kadapa Airport,14.51,78.772778,CDP
Alamuru,Andhra Pradesh,16.7833,81.9,Kadapa Airport,14.51,78.772778,CDP
Dowlaiswaram,Andhra Pradesh,16.9556,81.7931,Kadapa Airport,14.51,78.772778,CDP
Rapur,Andhra Pradesh,14.2015,79.5351,Kadapa Airport,14.51,78.772778,CDP
Nandigama,Andhra Pradesh,16.7833,80.3,Kadapa Airport,14.51,78.772778,CDP
Ananipalle,Andhra Pradesh,13.4902,79.2895,Kadapa Airport,14.51,78.772778,CDP
Janakammapeta,Andhra Pradesh,15.0125,79.8439,Kadapa Airport,14.51,78.772778,CDP
Addanki,Andhra Pradesh,15.8167,79.9833,Kadapa Airport,14.51,78.772778,CDP
Nidadavole,Andhra Pradesh,16.92,81.67,Kadapa Airport,14.51,78.772778,CDP
Ramachandrapuram,Andhra Pradesh,16.85,82.02,Kadapa Airport,14.51,78.772778,CDP
Alluru,Andhra Pradesh,15.1336,78.4975,Kadapa Airport,14.51,78.772778,CDP
Pileru,Andhra Pradesh,13.6549,78.9471,Kadapa Airport,14.51,78.772778,CDP
Vavveru,Andhra Pradesh,14.5594,79.8725,Kadapa Airport,14.51,78.772778,CDP
Erramvaripalem,Andhra Pradesh,15.8495,80.3861,Kadapa Airport,14.51,78.772778,CDP
Amudalavalasa,Andhra Pradesh,18.4167,83.9,Kadapa Airport,14.51,78.772778,CDP
Atmakur,Andhra Pradesh,15.8779,78.5884,Kadapa Airport,14.51,78.772778,CDP
Kovvur,Andhra Pradesh,17.017,81.731,Kadapa Airport,14.51,78.772778,CDP
Betamcherla,Andhra Pradesh,15.4667,78.1667,Kadapa Airport,14.51,78.772778,CDP
Penumur,Andhra Pradesh,13.3667,79.1833,Kadapa Airport,14.51,78.772778,CDP
Vetapalem,Andhra Pradesh,15.78,80.32,Kadapa Airport,14.51,78.772778,CDP
Buchireddipalem,Andhra Pradesh,14.538,79.875,Kadapa Airport,14.51,78.772778,CDP
Kanigiri,Andhra Pradesh,15.4,79.5167,Kadapa Airport,14.51,78.772778,CDP
Kadiyam,Andhra Pradesh,16.9167,81.8333,Kadapa Airport,14.51,78.772778,CDP
Dachepalle,Andhra Pradesh,16.6,79.7333,Kadapa Airport,14.51,78.772778,CDP
Ichchapuram,Andhra Pradesh,19.12,84.7,Kadapa Airport,14.51,78.772778,CDP
Vempalle,Andhra Pradesh,14.3667,78.4667,Kadapa Airport,14.51,78.772778,CDP
Uravakonda,Andhra Pradesh,14.95,77.27,Kadapa Airport,14.51,78.772778,CDP
Giddalur,Andhra Pradesh,15.3764,78.9251,Kadapa Airport,14.51,78.772778,CDP
Allagadda,Andhra Pradesh,15.1322,78.5138,Kadapa Airport,14.51,78.772778,CDP
Madakalavaripalli,Andhra Pradesh,14.7475,79.0843,Kadapa Airport,14.51,78.772778,CDP
Tiruvur,Andhra Pradesh,17.1,80.6,Kadapa Airport,14.51,78.772778,CDP
Narsipatnam,Andhra Pradesh,17.665,82.614,Kadapa Airport,14.51,78.772778,CDP
Darsi,Andhra Pradesh,15.7667,79.6833,Kadapa Airport,14.51,78.772778,CDP
Kondapalle,Andhra Pradesh,16.6183,80.5411,Kadapa Airport,14.51,78.772778,CDP
Elesvaram,Andhra Pradesh,17.2833,82.1,Kadapa Airport,14.51,78.772778,CDP
Erraguntla,Andhra Pradesh,14.6333,78.5333,Kadapa Airport,14.51,78.772778,CDP
Kalyandrug,Andhra Pradesh,14.55,77.1,Kadapa Airport,14.51,78.772778,CDP
Kovur,Andhra Pradesh,14.5001,79.9859,Kadapa Airport,14.51,78.772778,CDP
Akividu,Andhra Pradesh,16.5823,81.3811,Kadapa Airport,14.51,78.772778,CDP
Podili,Andhra Pradesh,15.604,79.608,Kadapa Airport,14.51,78.772778,CDP
Tummapala,Andhra Pradesh,17.7166,82.9965,Kadapa Airport,14.51,78.772778,CDP
Tekkali,Andhra Pradesh,18.6057,84.2355,Kadapa Airport,14.51,78.772778,CDP
Pedana,Andhra Pradesh,16.2667,81.1667,Kadapa Airport,14.51,78.772778,CDP
Chimakurti,Andhra Pradesh,15.5149,80.0368,Kadapa Airport,14.51,78.772778,CDP
Kaluvaya,Andhra Pradesh,14.5,79.4167,Kadapa Airport,14.51,78.772778,CDP
Sarpavaram,Andhra Pradesh,17.0102,82.225,Kadapa Airport,14.51,78.772778,CDP
Ibrahimpatnam,Andhra Pradesh,16.583,80.5143,Kadapa Airport,14.51,78.772778,CDP
Atmakur,Andhra Pradesh,14.6167,79.6167,Kadapa Airport,14.51,78.772778,CDP
Pattikonda,Andhra Pradesh,15.4,77.5167,Kadapa Airport,14.51,78.772778,CDP
Nalakadoddi,Andhra Pradesh,15.4,77.5167,Kadapa Airport,14.51,78.772778,CDP
Ramanayyapeta,Andhra Pradesh,17.3203,82.1014,Kadapa Airport,14.51,78.772778,CDP
Srungavarapukota,Andhra Pradesh,18.1167,83.1667,Kadapa Airport,14.51,78.772778,CDP
Tanguturu,Andhra Pradesh,15.35,80.05,Kadapa Airport,14.51,78.772778,CDP
Suluru,Andhra Pradesh,13.7,80.018,Kadapa Airport,14.51,78.772778,CDP
Penukonda,Andhra Pradesh,14.085,77.596,Kadapa Airport,14.51,78.772778,CDP
Parimpudi,Andhra Pradesh,17.1171,81.4342,Kadapa Airport,14.51,78.772778,CDP
Payakaraopeta,Andhra Pradesh,17.3627,82.5572,Kadapa Airport,14.51,78.772778,CDP
Pamidi,Andhra Pradesh,14.95,77.5833,Kadapa Airport,14.51,78.772778,CDP
Mamidalapadu,Andhra Pradesh,15.831,78.05,Kadapa Airport,14.51,78.772778,CDP
Narasannapeta,Andhra Pradesh,18.4167,84.05,Kadapa Airport,14.51,78.772778,CDP
Buddayyakota,Andhra Pradesh,13.8196,78.1729,Kadapa Airport,14.51,78.772778,CDP
Kottakota,Andhra Pradesh,13.6592,78.2467,Kadapa Airport,14.51,78.772778,CDP
Guruzala,Andhra Pradesh,16.58,79.57,Kadapa Airport,14.51,78.772778,CDP
Guduru,Andhra Pradesh,15.775,77.807,Kadapa Airport,14.51,78.772778,CDP
Renigunta,Andhra Pradesh,13.65,79.52,Kadapa Airport,14.51,78.772778,CDP
Chintalapudi,Andhra Pradesh,17.0417,80.5901,Kadapa Airport,14.51,78.772778,CDP
Poranki,Andhra Pradesh,16.4743,80.7128,Kadapa Airport,14.51,78.772778,CDP
Attili,Andhra Pradesh,16.7,81.6,Kadapa Airport,14.51,78.772778,CDP
Vodurivandlagudem,Andhra Pradesh,16.4286,81.133,Kadapa Airport,14.51,78.772778,CDP
Maduru,Andhra Pradesh,14.7616,78.6171,Kadapa Airport,14.51,78.772778,CDP
Pata Kalidindi,Andhra Pradesh,16.5014,81.2908,Kadapa Airport,14.51,78.772778,CDP
Gorantla,Andhra Pradesh,13.9892,77.7703,Kadapa Airport,14.51,78.772778,CDP
Kottapeta,Andhra Pradesh,16.7167,81.9,Kadapa Airport,14.51,78.772778,CDP
Aklvidu,Andhra Pradesh,16.6,81.3833,Kadapa Airport,14.51,78.772778,CDP
Vinnamala,Andhra Pradesh,13.9074,79.9086,Kadapa Airport,14.51,78.772778,CDP
Singarayakonda,Andhra Pradesh,15.25,80.0203,Kadapa Airport,14.51,78.772778,CDP
Mogalturru,Andhra Pradesh,16.4167,81.6,Kadapa Airport,14.51,78.772778,CDP
Ukkayapalle,Andhra Pradesh,14.4898,78.8927,Kadapa Airport,14.51,78.772778,CDP
Kosigi,Andhra Pradesh,15.85,77.2667,Kadapa Airport,14.51,78.772778,CDP
